Time,54 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 1:Des Heat Cap [W],54 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 2:Des Heat Cap [W],54 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 3:Des Heat Cap [W],54 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 4:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 4:Des Heat Cap [W],54 ZONE VAV:DesPer 4:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 4:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 4:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 5:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 5:Des Heat Cap [W],54 ZONE VAV:DesPer 5:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 5:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 5:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 6:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 6:Des Heat Cap [W],54 ZONE VAV:DesPer 6:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 6:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 6:Des Tot Cool Cap [W],54 ZONE VAV:DesPer 7:Des Heat Mass Flow [kg/s],54 ZONE VAV:DesPer 7:Des Heat Cap [W],54 ZONE VAV:DesPer 7:Des Cool Mass Flow [kg/s],54 ZONE VAV:DesPer 7:Des Sens Cool Cap [W],54 ZONE VAV:DesPer 7:Des Tot Cool Cap [W]
00:10:00,3.605732E+01,0.000000E+00,3.626182E+01,4.805085E+05,1.085459E+06,3.605732E+01,0.000000E+00,3.609930E+01,3.229622E+05,1.080963E+06,3.605732E+01,0.000000E+00,3.610294E+01,4.063373E+05,1.342157E+06,3.605732E+01,0.000000E+00,3.610256E+01,4.027100E+05,1.356170E+06,4.886797E+01,1.002606E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316722E+01,4.443934E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.842911E+01,9.591104E+05,3.605732E+01,0.000000E+00,0.000000E+00
00:20:00,3.605732E+01,0.000000E+00,3.622983E+01,4.770373E+05,1.081786E+06,3.605732E+01,0.000000E+00,3.609852E+01,3.198074E+05,1.069404E+06,3.605732E+01,0.000000E+00,3.610143E+01,4.031753E+05,1.338906E+06,3.605732E+01,0.000000E+00,3.610105E+01,3.995479E+05,1.352917E+06,4.886909E+01,1.002598E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316762E+01,4.443948E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843024E+01,9.591019E+05,3.605732E+01,0.000000E+00,0.000000E+00
00:30:00,3.605732E+01,0.000000E+00,3.620016E+01,4.735860E+05,1.078059E+06,3.605732E+01,0.000000E+00,3.609799E+01,3.166561E+05,1.057884E+06,3.605732E+01,0.000000E+00,3.610021E+01,4.000169E+05,1.335649E+06,3.605732E+01,0.000000E+00,3.609983E+01,3.963894E+05,1.349659E+06,4.887011E+01,1.002590E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316802E+01,4.443915E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843126E+01,9.590942E+05,3.605732E+01,0.000000E+00,0.000000E+00
00:40:00,3.605732E+01,0.000000E+00,3.617270E+01,4.701510E+05,1.074294E+06,3.605732E+01,0.000000E+00,3.609771E+01,3.135079E+05,1.046403E+06,3.605732E+01,0.000000E+00,3.609926E+01,3.968616E+05,1.332388E+06,3.605732E+01,0.000000E+00,3.609888E+01,3.932340E+05,1.346396E+06,4.887110E+01,1.002583E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316843E+01,4.443881E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843225E+01,9.590867E+05,3.605732E+01,0.000000E+00,0.000000E+00
00:50:00,3.605732E+01,0.000000E+00,3.615138E+01,4.667769E+05,1.070678E+06,3.605732E+01,0.000000E+00,3.609790E+01,3.103651E+05,1.034995E+06,3.605732E+01,0.000000E+00,3.609880E+01,3.937118E+05,1.329158E+06,3.605732E+01,0.000000E+00,3.609841E+01,3.900841E+05,1.338304E+06,4.887209E+01,1.002575E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316891E+01,4.443842E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843325E+01,9.590791E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:00:00,3.605732E+01,0.000000E+00,3.613977E+01,4.635074E+05,1.067233E+06,3.605732E+01,0.000000E+00,3.609776E+01,3.072186E+05,1.023611E+06,3.605732E+01,0.000000E+00,3.609804E+01,3.905584E+05,1.325909E+06,3.605732E+01,0.000000E+00,3.609779E+01,3.869322E+05,1.325795E+06,4.887305E+01,1.002568E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.316945E+01,4.443797E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843420E+01,9.590718E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:10:00,3.605732E+01,0.000000E+00,3.609048E+01,4.608390E+05,1.063870E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.046510E+05,1.014962E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.879858E+05,1.322672E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.843625E+05,1.316414E+06,4.887406E+01,1.002560E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317005E+01,4.443748E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843521E+01,9.590641E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:20:00,3.605732E+01,0.000000E+00,3.608328E+01,4.586557E+05,1.061515E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.025495E+05,1.007385E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.858843E+05,1.320488E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.822610E+05,1.308101E+06,4.887509E+01,1.002552E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317072E+01,4.443693E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843624E+01,9.590563E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:30:00,3.605732E+01,0.000000E+00,3.607664E+01,4.564774E+05,1.059165E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.004480E+05,9.998273E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.837828E+05,1.314119E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.801595E+05,1.299808E+06,4.887619E+01,1.002544E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317144E+01,4.443634E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843734E+01,9.590479E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:40:00,3.605732E+01,0.000000E+00,3.607052E+01,4.543041E+05,1.056824E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.983465E+05,9.922874E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.816813E+05,1.305811E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.780581E+05,1.291536E+06,4.887730E+01,1.002535E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317220E+01,4.443572E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843845E+01,9.590394E+05,3.605732E+01,0.000000E+00,0.000000E+00
01:50:00,3.605732E+01,0.000000E+00,3.606775E+01,4.521702E+05,1.054577E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.962451E+05,9.847657E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.795798E+05,1.297524E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.759566E+05,1.283284E+06,4.887840E+01,1.002527E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317293E+01,4.443511E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.843954E+01,9.590309E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:00:00,3.605732E+01,0.000000E+00,3.606574E+01,4.500452E+05,1.052352E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.941436E+05,9.772622E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.774783E+05,1.289258E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.738551E+05,1.275053E+06,4.887952E+01,1.002518E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317364E+01,4.443453E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844067E+01,9.590222E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:10:00,3.605732E+01,0.000000E+00,3.606386E+01,4.484464E+05,1.050670E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.925675E+05,9.716464E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.759022E+05,1.283071E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.722790E+05,1.268893E+06,4.888055E+01,1.002510E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317432E+01,4.443398E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844170E+01,9.590142E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:20:00,3.605732E+01,0.000000E+00,3.606208E+01,4.468488E+05,1.048991E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.909913E+05,9.660406E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.743261E+05,1.276896E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.707029E+05,1.262744E+06,4.888154E+01,1.002502E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317495E+01,4.443346E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844269E+01,9.590065E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:30:00,3.605732E+01,0.000000E+00,3.606124E+01,4.452625E+05,1.047340E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.894152E+05,9.604450E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.727500E+05,1.270732E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.691267E+05,1.256606E+06,4.888247E+01,1.002495E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317554E+01,4.443297E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844362E+01,9.589993E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:40:00,3.605732E+01,0.000000E+00,3.606081E+01,4.436812E+05,1.045700E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.878391E+05,9.548596E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.711739E+05,1.264580E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.675506E+05,1.250480E+06,4.888334E+01,1.002488E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317609E+01,4.443252E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844449E+01,9.589925E+05,3.605732E+01,0.000000E+00,0.000000E+00
02:50:00,3.605732E+01,0.000000E+00,3.606049E+01,4.421011E+05,1.044063E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.862630E+05,9.492842E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.695978E+05,1.258439E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.659745E+05,1.244365E+06,4.888414E+01,1.002482E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317661E+01,4.443209E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844529E+01,9.589862E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:00:00,3.605732E+01,0.000000E+00,3.606018E+01,4.405213E+05,1.042428E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.846869E+05,9.437188E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.680217E+05,1.252310E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.643984E+05,1.238262E+06,4.888490E+01,1.002476E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317709E+01,4.443169E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844605E+01,9.589803E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:10:00,3.605732E+01,0.000000E+00,3.605988E+01,4.389415E+05,1.040792E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.831108E+05,9.381635E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.664455E+05,1.246192E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.628223E+05,1.232169E+06,4.888560E+01,1.002471E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317755E+01,4.443132E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844675E+01,9.589748E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:20:00,3.605732E+01,0.000000E+00,3.605959E+01,4.373619E+05,1.039156E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.815347E+05,9.326181E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.648694E+05,1.240085E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.612462E+05,1.226088E+06,4.888626E+01,1.002466E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317797E+01,4.443097E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844741E+01,9.589696E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:30:00,3.605732E+01,0.000000E+00,3.605932E+01,4.357824E+05,1.037520E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.799585E+05,9.270828E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.632933E+05,1.233989E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.596701E+05,1.220019E+06,4.888687E+01,1.002461E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317837E+01,4.443064E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844802E+01,9.589648E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:40:00,3.605732E+01,0.000000E+00,3.605904E+01,4.342030E+05,1.035885E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.783824E+05,9.215573E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.617172E+05,1.227905E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.580939E+05,1.213960E+06,4.888745E+01,1.002456E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317874E+01,4.443034E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844860E+01,9.589603E+05,3.605732E+01,0.000000E+00,0.000000E+00
03:50:00,3.605732E+01,0.000000E+00,3.605878E+01,4.326237E+05,1.034251E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.768063E+05,9.160419E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.601411E+05,1.221831E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.565178E+05,1.207912E+06,4.888799E+01,1.002452E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317909E+01,4.443005E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844914E+01,9.589561E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:00:00,3.605732E+01,0.000000E+00,3.605852E+01,4.310445E+05,1.032616E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.752302E+05,9.105363E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.585650E+05,1.215769E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.549417E+05,1.201876E+06,4.888849E+01,1.002448E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317942E+01,4.442978E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.844965E+01,9.589521E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:10:00,3.605732E+01,0.000000E+00,3.605827E+01,4.299908E+05,1.031524E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.741795E+05,9.068714E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.575142E+05,1.211734E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.538910E+05,1.197858E+06,4.888897E+01,1.002444E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.317974E+01,4.442952E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845012E+01,9.589484E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:20:00,3.605732E+01,0.000000E+00,3.605804E+01,4.289371E+05,1.030432E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.731287E+05,9.032109E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.564635E+05,1.207704E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.528402E+05,1.193845E+06,4.888942E+01,1.002441E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318003E+01,4.442928E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845057E+01,9.589449E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:30:00,3.605732E+01,0.000000E+00,3.605780E+01,4.278836E+05,1.029340E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.720780E+05,8.995548E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.554127E+05,1.203679E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.517895E+05,1.189837E+06,4.888984E+01,1.002438E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318031E+01,4.442905E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845099E+01,9.589416E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:40:00,3.605732E+01,0.000000E+00,3.605771E+01,4.268317E+05,1.028253E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.710272E+05,8.959030E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.543620E+05,1.199659E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.507387E+05,1.185833E+06,4.889024E+01,1.002434E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318058E+01,4.442883E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845139E+01,9.589385E+05,3.605732E+01,0.000000E+00,0.000000E+00
04:50:00,3.605732E+01,0.000000E+00,3.605893E+01,4.257957E+05,1.027205E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.699765E+05,8.922556E+05,3.605732E+01,0.000000E+00,3.605732E+01,3.533113E+05,1.195643E+06,3.605732E+01,0.000000E+00,3.605732E+01,3.496880E+05,1.181835E+06,4.889061E+01,1.002432E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318083E+01,4.442862E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845177E+01,9.589355E+05,3.605732E+01,0.000000E+00,0.000000E+00
05:00:00,3.605732E+01,0.000000E+00,3.616079E+01,4.259753E+05,1.029138E+06,3.605732E+01,0.000000E+00,3.605732E+01,2.689257E+05,8.886126E+05,3.605732E+01,0.000000E+00,3.606178E+01,3.523142E+05,1.191766E+06,3.605732E+01,0.000000E+00,3.606123E+01,3.486843E+05,1.177958E+06,4.889097E+01,1.002429E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318107E+01,4.442843E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845213E+01,9.589327E+05,3.605732E+01,0.000000E+00,0.000000E+00
05:10:00,3.605732E+01,0.000000E+00,3.681178E+01,4.348334E+05,1.048415E+06,3.605732E+01,0.000000E+00,3.606824E+01,2.701066E+05,8.925720E+05,3.605732E+01,0.000000E+00,3.630973E+01,3.563350E+05,1.202869E+06,3.605732E+01,0.000000E+00,3.628019E+01,3.523574E+05,1.188220E+06,4.889131E+01,1.002426E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318129E+01,4.442824E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845246E+01,9.589300E+05,3.605732E+01,0.000000E+00,0.000000E+00
05:20:00,3.605732E+01,0.000000E+00,3.777252E+01,4.472760E+05,1.075273E+06,3.605732E+01,0.000000E+00,3.644317E+01,2.755933E+05,9.069088E+05,3.605732E+01,0.000000E+00,3.717319E+01,3.676299E+05,1.230769E+06,3.605732E+01,0.000000E+00,3.714039E+01,3.636137E+05,1.216053E+06,4.889163E+01,1.002424E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318151E+01,4.442806E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845279E+01,9.589275E+05,3.605732E+01,0.000000E+00,0.000000E+00
05:30:00,3.605732E+01,0.000000E+00,3.901997E+01,4.629501E+05,1.107392E+06,3.605732E+01,0.000000E+00,3.739139E+01,2.877310E+05,9.363227E+05,3.605732E+01,0.000000E+00,3.831589E+01,3.820734E+05,1.264231E+06,3.605732E+01,0.000000E+00,3.827590E+01,3.779712E+05,1.249367E+06,4.889193E+01,1.002421E+06,3.605732E+01,0.000000E+00,0.000000E+00,4.318171E+01,4.442789E+05,3.605732E+01,0.000000E+00,0.000000E+00,4.845309E+01,9.589251E+05,3.605732E+01,0.000000E+00,0.000000E+00
